korean,english
이것은 컴퓨터다,This is a computer
이것은 서버다,This is a server
이것은 보고서다,This is a report
이것은 기획안이다,This is a proposal
이것은 계약서다,This is a contract
이것은 청구서다,This is an invoice
이것은 예산이다,This is a budget
이것은 일정이다,This is a schedule
이것은 안건이다,This is an agenda
이것은 회의록이다,This is minutes
그는 팀장이다,He is a team leader
그는 매니저다,He is a manager
나는 인턴이다,I am an intern
우리는 팀이다,We are a team
이것은 우리 회사다,This is our company
이것은 거래처다,This is a client
우리는 미팅을 한다,We have a meeting
미팅이 지루하다,The meeting is boring
우리는 회의를 한다,We have a meeting
회의는 중요하다,The meeting is important
나는 서류를 검토한다,I review the document
그는 결재를 승인한다,He approves the payment
그는 요청을 반려한다,He rejects the request
나는 메일을 보낸다,I send an email
이메일을 확인해라,Check the email
나는 전화를 받는다,I answer the phone
나는 출근한다,I go to work
나는 퇴근한다,I leave work
우리는 야근을 한다,We work overtime
우리는 협력을 한다,We cooperate
비밀을 유출하지 마라,Do not leak the secret
이것은 대외비 문서다,This is a confidential document
외부인은 들어오면 안 된다,Outsiders must not enter
이것은 내 업무다,This is my work
매출이 올랐다,Sales went up
이것은 목표다,This is a goal
우리는 성공을 달성했다,We achieved success
분기는 3개월이다,A quarter is 3 months
이것은 새롭다,This is new
이것은 중요하다,This is important
문제가 발생했다,A problem occurred
문제를 해결하다,Solve the problem
일정을 잡다,Set a schedule
예약을 하다,Make a reservation
지금은 2시다,It is 2
지금은 3시다,It is 3
그는 팀장이다,He is a team leader
그는 리더다,He is a leader
이것은 프로젝트다,This is a project
우리는 프로젝트를 한다,We do a project
이것은 기획안이다,This is a proposal
나는 검토를 하고 있다,I am reviewing
나는 서류를 검토한다,I review the document
장님은 리더다,The manager is a leader
그는 검토 중이다,He is reviewing
오후는 pm이다,Afternoon is pm
월요일은 한 주의 시작이다,Monday is the start of the week
우리는 수요일에 만난다,We meet on Wednesday
매주 금요일은 마감일이다,Every Friday is the deadline
내일 비가 올 것이다,It will rain tomorrow
이것은 여름이다,This is summer
나는 휴가를 간다,I go on vacation
다음 달에 만나요,See you next month
모든 직원이 모였다,All employees gathered
이것은 사원증이다,This is an ID card
반드시 해야 한다,You must do it
착용하세요,Please wear
이것은 회의실이다,This is a meeting room
그룹웨어를 사용해라,Use groupware
예약을 하다,Make a reservation
모든 사람은 평등하다,All people are equal
나는 직원이다,I am an employee
반드시 해라,You must do it
이것은 메일이다,This is mail
이것은 사무실이다,This is an office
이것은 용품이다,These are supplies
사무용품을 산다,Buy office supplies
마감 기한이 있다,There is a deadline
시간이 남지 않았다,There is no time left
우리는 경영한다,We do management
우리는 지원한다,We support

우리는 매주 월요일 아침에 회의를 한다,We have a meeting every Monday morning
나는 내일 오후 2시에 거래처와 미팅이 있다,I have a meeting with the client at 2 PM tomorrow
그는 이번 주 금요일까지 보고서를 제출해야 한다,He must submit the report by this Friday
팀장님은 새로운 프로젝트 기획안을 검토하고 있다,The team leader is reviewing the new project proposal
나는 다음 달에 여름 휴가를 갈 예정이다,I am planning to go on summer vacation next month
모든 직원은 사원증을 반드시 착용해야 한다,All employees must wear their ID cards
회의실 예약은 그룹웨어에서 할 수 있다,You can reserve the meeting room on the groupware
내 컴퓨터가 고장 나서 업무를 할 수 없다,I cannot work because my computer is broken
이메일로 계약서 초안을 보내주시기 바랍니다,Please send the draft contract via email
메일 서버가 다운되었다,The mail server is down
우리는 이번 분기 매출 목표를 달성했다,We achieved the sales goal for this quarter
마감 기한이 얼마 남지 않아서 우리는 야근을 했다,We worked overtime because the deadline was coming up
경영지원팀에 사무용품 구매를 요청했다,I requested the purchase of office supplies to the management support team
오후 3시에 만나요,Let's meet at 3 pm
