"text","intent"
"연차 신청 규정 및 절차","연차 휴가는 그룹웨어 [전자결재 > 근태신청] 메뉴에서 기안해야 합니다. 원칙적으로 사용일 기준 최소 3일 전까지 신청 및 팀장 승인이 완료되어야 하며, 긴급 상황 시 당일 오전 연락 후 사후 결재가 가능합니다."
"올해 남은 잔여 연차 개수 확인 방법","본인의 잔여 연차는 그룹웨어 메인 화면 우측의 [내 근태 현황] 위젯에서 실시간으로 조회가 가능합니다. 시스템 오류가 의심될 경우 인사팀(내선 101)으로 문의 바랍니다."
"반차 사용 시간 및 차감 기준","오전 반차는 09:00~14:00(점심시간 포함), 오후 반차는 14:00~18:00입니다. 반차 사용 시 연차 일수에서 0.5일이 차감됩니다."
"야근 식대 지원 기준과 한도","야근 식대는 평일 19시 이후까지 초과 근무를 하는 경우에 한해 지원됩니다. 법인카드로 1인당 15,000원까지 결제 가능하며, 영수증은 경비 시스템에 '야근 식대' 계정으로 등록해야 합니다."
"주말 및 공휴일 근무 수당 규정","휴일(주말/공휴일) 근무 시에는 대체 휴무 부여가 원칙입니다. 단, 프로젝트 마감 등 불가피한 사유로 사전 승인을 득한 경우에 한해 휴일 근무 수당(통상임금의 1.5배)으로 정산 가능합니다."
"법인카드 사용 내역 제출 및 영수증 처리","법인카드 사용 후 영수증은 필히 보관해야 하며, 매월 말일까지 [경비 지출 결의서]를 작성해 재무팀에 제출해야 합니다. 건당 5만 원 이상 결제 시 접대비 명세서 작성이 필수입니다."
"출장비 지급 규정 및 신청 절차","시외 출장 시 실비 교통비와 일비(1일 2만 원)가 지급됩니다. 숙박비는 지역별 한도 내에서 실비 지원되며, 출발 전 반드시 [출장 품의서] 승인을 받아야 정산이 가능합니다."
"사내 와이파이(WiFi) 비밀번호 안내","임직원용 와이파이 ID는 'Company_Staff_5G'이며, 비밀번호는 'Welcome2025!@#'입니다. 보안을 위해 외부 유출을 금하며, 방문객에게는 'Guest_Wifi'를 안내해 주시기 바랍니다."
"노트북 모니터 등 IT 장비 고장 신고","PC나 모니터 등 장비 고장 시 헬프데스크(내선 999) 또는 사내 메신저 [IT지원팀] 채널로 접수 바랍니다. 수리에는 영업일 기준 2~3일이 소요될 수 있으며, 필요시 대체 장비를 대여해 드립니다."
"유료 소프트웨어(SW) 설치 요청 방법","포토샵, MS 오피스 등 유료 라이선스가 필요한 SW는 임의 설치가 불가능합니다. 그룹웨어에서 [SW 구매/설치 신청서]를 작성하여 승인받으면 IT팀에서 원격으로 설치를 지원합니다."
"계정 비밀번호 변경 주기 및 규칙","사내 보안 정책에 따라 비밀번호는 3개월마다 변경해야 합니다. 인트라넷 로그인 창의 [비밀번호 변경] 메뉴를 이용해 주시고, 영문/숫자/특수문자를 포함한 10자리 이상으로 설정해야 합니다."
"회의실 예약 방법 및 이용 수칙","회의실은 그룹웨어 상단 [자원 예약] 메뉴에서 사용 시간과 참석 인원을 입력하여 예약할 수 있습니다. 퇴실 시 화이트보드 정리, 의자 정돈 및 전등 소등을 반드시 준수해 주십시오."
"명함 신청 대상 및 제작 기간","명함은 신규 입사, 승진, 부서 이동 또는 기존 명함 소진 시 신청 가능합니다. 총무팀 양식함의 [명함 신청서]를 작성해 이메일로 제출하면 되며, 제작에는 약 1주일(5영업일)이 소요됩니다."
"사무용품 및 비품 신청 절차","볼펜, A4 용지 등 공용 비품은 각 층 탕비실 옆 비품 창고를 이용하세요. 창고에 없는 물품이나 고가 장비(마우스 등)는 매주 화요일까지 총무팀에 [비품 구매 신청]을 하시면 일괄 구매됩니다."
"사원증 분실 시 신고 및 재발급","사원증 분실 즉시 보안팀(내선 200)에 신고하여 출입 권한을 정지해야 합니다. 재발급을 위해서는 인사팀에 방문하여 신청서를 작성해야 하며, 재발급 비용 10,000원은 본인 부담입니다."
"월급 급여 지급일 및 명세서 확인","급여일은 매월 25일이며, 휴일일 경우 직전 영업일에 지급됩니다. 급여 명세서는 지급 당일 오전 10시 사내 보안 메일로 발송되며, 열람 비밀번호는 생년월일 6자리입니다."
"경조사 휴가 및 경조금 지원 기준","본인 결혼 시 유급 휴가 5일, 화환, 경조금 50만 원이 지원됩니다. 부모님 회갑, 자녀 출산 등 기타 항목은 규정집 [경조사 지원 규정]을 참조 바랍니다. 증빙 서류(청첩장 등) 제출이 필수입니다."
"재택근무 신청 조건 및 절차","재택근무는 부서장 합의 하에 주 2회까지 가능합니다. 근무일 전날 오후 4시까지 [재택근무 계획서]를 그룹웨어로 제출하여 승인을 받아야 하며, 업무 시간에 상시 연락이 가능해야 합니다."
"시말서 작성 및 제출 기준","무단 결근, 월 3회 이상 지각, 회사 명예 실추 등 근태 규정 위반 시 시말서를 작성해야 합니다. 제출된 시말서는 인사 고과 및 징계 위원회의 주요 참고 자료로 활용됩니다."
"퇴직 절차 및 업무 인수인계 규정","퇴직 희망 시 최소 30일 전 부서장 면담 및 사직서를 제출해야 합니다. 퇴사일 전까지 [업무 인수인계서]를 작성하여 후임자와 부서장의 확인 서명을 받아야 퇴직 처리가 완료됩니다."
